Date,Open,High,Low,Close,Adj Close,Volume
2018-05-28,null,null,null,null,null,null
2018-05-29,35213.140625,35234.140625,34922.179688,34949.238281,34949.238281,8400
2018-05-30,34876.128906,35017.449219,34735.109375,34906.109375,34906.109375,10900
2018-05-31,35083.808594,35416.031250,34926.078125,35322.378906,35322.378906,22900
2018-06-01,35373.980469,35438.218750,35177.351563,35227.261719,35227.261719,11900
2018-06-04,35503.238281,35555.589844,34982.250000,35011.890625,35011.890625,29400
2018-06-05,35029.449219,35073.121094,34784.679688,34903.210938,34903.210938,8300
2018-06-06,34932.488281,35230.539063,34896.371094,35178.878906,35178.878906,10100
2018-06-07,35278.378906,35628.488281,35278.378906,35463.078125,35463.078125,8800
2018-06-08,35406.468750,35484.941406,35260.000000,35443.671875,35443.671875,9900
2018-06-11,35472.589844,35704.839844,35444.488281,35483.468750,35483.468750,11100
2018-06-12,35525.300781,35743.078125,35479.070313,35692.519531,35692.519531,11100
2018-06-13,35835.441406,35877.410156,35715.960938,35739.160156,35739.160156,11900
2018-06-14,35743.101563,35749.878906,35488.550781,35599.820313,35599.820313,9800
2018-06-15,35656.261719,35675.199219,35419.679688,35622.140625,35622.140625,9000
2018-06-18,35698.429688,35721.550781,35518.730469,35548.261719,35548.261719,8100
2018-06-19,35552.468750,35552.468750,35249.058594,35286.738281,35286.738281,9000
2018-06-20,35329.609375,35571.371094,35329.511719,35547.328125,35547.328125,10200
2018-06-21,35644.050781,35678.691406,35396.968750,35432.390625,35432.390625,62300
2018-06-22,35428.421875,35741.261719,35344.488281,35689.601563,35689.601563,14700
2018-06-25,35783.750000,35806.968750,35430.109375,35470.351563,35470.351563,11800
2018-06-26,35355.718750,35616.640625,35338.089844,35490.039063,35490.039063,11500
2018-06-27,35543.890625,35618.851563,35154.210938,35217.109375,35217.109375,11300
2018-06-28,35207.191406,35282.398438,34937.148438,35037.640625,35037.640625,0
